
# Original

### 1) Tf-idf Vectorizer
   NAME                   ,     PRECISION       ,    RECALL           ,     F1 SCORE        ,   ACCURACY
['BernoulliNB'            , 0.34444880345233425  , 0.43746885899352267,  0.3854258121158911,   0.7504233888938409]
['RandomForestClassifier' , 0.6766917293233082   , 0.08968609865470852,  0.1583809942806863,   0.8294856939121134]
['BaggingClassifier'      , 0.5180722891566265   , 0.2356751370204285,   0.323972602739726,    0.8240484891701577]
['ExtraTreesClassifier'   , 0.536723163841808    , 0.09466865969108122,  0.16094875052943672,  0.8234245476423924]
['DecisionTreeClassifier' , 0.34337056823700823  , 0.35226706527154955,  0.34776192818494833,  0.7636152954808807]
['CalibratedClassifierCV' , 0.712166172106825    , 0.11958146487294469,  0.20477815699658702,  0.8338532846064711]
['SGDClassifier'          , 0.8113207547169812,   0.04285002491280518,  0.08140085186938001,  0.8269899278010517]
['MLPClassifier'          , 0.4032983508245877,   0.4020926756352765,   0.4026946107784431,   0.7866119975042339]
## 2) Word2Vec
#### a. xmlOriginal
['BernoulliNB',             0.3648590021691974,   0.4190333831589437,   0.390074211502783,   0.7655762545681434]
['RandomForestClassifier'  , 0.6046511627906976,   0.051818634778276036, 0.09545663148233134, 0.8243158926820572]
['BaggingClassifier',       0.5611814345991561,   0.06626806178375685,  0.11853832442067735, 0.8236919511542918]
['ExtraTreesClassifier',    0.40129449838187703,  0.06178375685102142,  0.1070811744386874,  0.8156698457973082]
['DecisionTreeClassifier',  0.24711200401808137,  0.24514200298953662,  0.24612306153076538, 0.731348605045013]
['CalibratedClassifierCV',  0.6587301587301587,   0.041355256601893375, 0.07782466010314111, 0.8246724306979232]
['SGDClassifier',           0.4642857142857143,   0.09715994020926756,  0.16069221260815822, 0.8184330154202691]
['KNeighborsClassifier',    0.26534296028880866,  0.21973094170403587,  0.2403924775143091,  0.7515821374454051]
['MLPClassifier',           0.33870040253018974,  0.29347284504235177,  0.31446876668446344, 0.7711025938140654]
#### B. xmlReplace
['BernoulliNB', 0.3385899814471243, 0.3637269556552068, 0.35070862358875815, 0.7590694357785899]
['RandomForestClassifier', 0.6464646464646465, 0.0637767812655705, 0.11609977324263039, 0.8262768517693199]
['BaggingClassifier', 0.626984126984127, 0.0787244643746886, 0.13988490482514387, 0.8268116587931188]
['ExtraTreesClassifier', 0.4524590163934426, 0.0687593423019432, 0.11937716262975778, 0.8185221499242357]
['DecisionTreeClassifier', 0.27924340467894476, 0.2795216741405082, 0.27938247011952194, 0.7420447455209912]
['CalibratedClassifierCV', 0.6831683168316832, 0.0343796711509716, 0.06546489563567362, 0.8244050271860237]
['SGDClassifier', 0.48195876288659795, 0.0931738913801694, 0.15615866388308974, 0.819859167483733]
['KNeighborsClassifier', 0.27200902934537247, 0.24015944195316394, 0.25509394019581905, 0.7490863713343435]
['MLPClassifier', 0.31997414350355524, 0.24663677130044842, 0.2785593697242543, 0.7714591318299314]
#### c. csvReplaceBR12
['BernoulliNB', 0.3176149649259548, 0.4060787244643747, 0.35643997375902037, 0.7376771548266334]
['RandomForestClassifier', 0.6440677966101694, 0.037867463876432486, 0.07152941176470588, 0.8241376236741242]
['BaggingClassifier', 0.5925925925925926, 0.0637767812655705, 0.11515969410706253, 0.8246724306979232]
['ExtraTreesClassifier', 0.42771084337349397, 0.03537618335824614, 0.06534744592728946, 0.8189678224440681]
['DecisionTreeClassifier', 0.2556436851738865, 0.20876930742401595, 0.22984092155787167, 0.7497103128621089]
['CalibratedClassifierCV', 0.7261904761904762, 0.030393622321873443, 0.058345289335246284, 0.8244941616899902]
['SGDClassifier', 0.46309963099630996, 0.12506228201295466, 0.1969399764613574, 0.8175416703806043]
['KNeighborsClassifier', 0.2915398660986001, 0.2386646736422521, 0.2624657534246575, 0.7600499153222212]
['MLPClassifier', 0.4201570680628272, 0.15994020926756353, 0.23168531216167446, 0.8102326410553525]
#### d. csv_3_ReplaceBR_bigram
['BernoulliNB', 0.3052970651395848, 0.42501245640259094, 0.3553426369506353, 0.7241287102237276]
['RandomForestClassifier', 0.6094674556213018, 0.05132037867463876, 0.09466911764705882, 0.8244050271860237]
['BaggingClassifier', 0.5443548387096774, 0.06726457399103139, 0.11973392461197341, 0.8230680096265264]
['ExtraTreesClassifier', 0.4349315068493151, 0.06327852516193323, 0.11048281861678991, 0.8177199393885373]
['DecisionTreeClassifier', 0.2711386696730552, 0.23966118584952667, 0.25443004496165034, 0.7487298333184775]
['CalibratedClassifierCV', 0.6727272727272727, 0.03687095166915795, 0.06991025035427492, 0.8244941616899902]
['SGDClassifier', 0.5333333333333333, 0.019930244145490782, 0.03842459173871277, 0.8215527230590962]
['KNeighborsClassifier', 0.28921819110884006, 0.2820129546586946, 0.28557013118062563, 0.7475710847669133]
